12/11/2019,,
11,,
Away,BOS,-1
Home,IND,1
,,
Away,HOU,-12
Home,CLE,12
,,
Away,LAC,-3
Home,TOR,3
,,
Away,LAL,-9
Home,ORL,9
,,
Away,CHA,10
Home,BKN,-10
,,
Away,ATL,6
Home,CHI,-6
,,
Away,UTA,-1.5
Home,MIN,1.5
,,
Away,MEM,7
Home,PHX,-7
,,
Away,NOP,10
Home,MIL,-10
,,
Away,OKC,1.5
Home,SAC,-1.5
,,
Away,NYK,5
Home,GSW,-5
,,
12/12/2019,,
4,,
Away,PHI,-2
Home,BOS,2
,,
Away,CLE,11.5
Home,SAS,-11.5
,,
Away,DAL,-7.5
Home,DET,7.5
,,
Away,POR,7
Home,DEN,-7
,,
12/13/2019,,
9,,
Away,HOU,-7
Home,ORL,7
,,
Away,LAL,-6
Home,MIA,6
,,
Away,NOP,8.5
Home,PHI,-8.5
,,
Away,IND,-6.5
Home,ATL,6.5
,,
Away,CHA,6.5
Home,CHI,-6.5
,,
Away,MIL,-12
Home,MEM,12
,,
Away,GSW,14
Home,UTA,-14
,,
Away,LAC,-5.5
Home,MIN,5.5
,,
Away,NYK,9
Home,SAC,-9
,,
12/15/2019,,
6,,
Away,ORL,0
Home,NOP,0
,,
Away,CHA,11.5
Home,IND,-11.5
,,
Away,LAL,-12
Home,ATL,12
,,
Away,PHI,-3.5
Home,BKN,3.5
,,
Away,NYK,11.5
Home,DEN,-11.5
,,
Away,SAC,-3.5
Home,GSW,3.5
,,
12/16/2019,,
7,,
Away,WAS,5
Home,DET,-5
,,
Away,CLE,12.5
Home,TOR,-12.5
,,
Away,CHI,6
Home,OKC,-6
,,
Away,DAL,11
Home,MIL,-11
,,
Away,MIA,-4
Home,MEM,4
,,
Away,SAS,9.5
Home,HOU,-9.5
,,
Away,POR,-1
Home,PHX,1
,,
12/17/2019,,
6,,
Away,LAL,-4
Home,IND,4
,,
Away,SAC,-4.5
Home,CHA,4.5
,,
Away,ATL,2
Home,NYK,-2
,,
Away,BKN,-2.5
Home,NOP,2.5
,,
Away,ORL,6.5
Home,UTA,-6.5
,,
Away,PHX,13
Home,LAC,-13
,,
12/17/2019,,
6,,
Away,LAL,-4.5
Home,IND,4.5
,,
Away,SAC,-5
Home,CHA,5
,,
Away,ATL,2
Home,NYK,-2
,,
Away,BKN,-2.5
Home,NOP,2.5
,,
Away,ORL,6.5
Home,UTA,-6.5
,,
Away,PHX,13
Home,LAC,-13
,,
12/17/2019,,
6,,
Away,LAL,-3
Home,IND,3
,,
Away,SAC,-5.5
Home,CHA,5.5
,,
Away,ATL,2
Home,NYK,-2
,,
Away,BKN,-2.5
Home,NOP,2.5
,,
Away,ORL,7
Home,UTA,-7
,,
Away,PHX,13.5
Home,LAC,-13.5
,,
12/18/2019,,
9,,
Away,CHA,3
Home,CLE,-3
,,
Away,CHI,1.5
Home,WAS,-1.5
,,
Away,MIA,7.5
Home,PHI,-7.5
,,
Away,TOR,-4
Home,DET,4
,,
Away,MEM,6.5
Home,OKC,-6.5
,,
Away,NOP,7
Home,MIN,-7
,,
Away,ORL,9.5
Home,DEN,-9.5
,,
Away,BOS,-2.5
Home,DAL,2.5
,,
Away,GSW,10
Home,POR,-10
,,
12/18/2019,,
9,,
Away,CHA,2.5
Home,CLE,-2.5
,,
Away,CHI,-1
Home,WAS,1
,,
Away,MIA,8
Home,PHI,-8
,,
Away,TOR,-3
Home,DET,3
,,
Away,MEM,6.5
Home,OKC,-6.5
,,
Away,NOP,6.5
Home,MIN,-6.5
,,
Away,ORL,9.5
Home,DEN,-9.5
,,
Away,BOS,-2
Home,DAL,2
,,
Away,GSW,9.5
Home,POR,-9.5
,,
12/19/2019,,
4,,
Away,UTA,-7
Home,ATL,7
,,
Away,LAL,4
Home,MIL,-4
,,
Away,BKN,3
Home,SAS,-3
,,
Away,HOU,5.5
Home,LAC,-5.5
,,
12/20/2019,,
11,,
Away,MEM,-3
Home,CLE,3
,,
Away,SAC,5
Home,IND,-5
,,
Away,DET,9.5
Home,BOS,-9.5
,,
Away,WAS,6
Home,TOR,-6
,,
Away,DAL,8.5
Home,PHI,-8.5
,,
Away,NYK,9.5
Home,MIA,-9.5
,,
Away,PHX,5
Home,OKC,-5
,,
Away,MIN,10
Home,DEN,-10
,,
Away,ORL,4
Home,POR,-4
,,
Away,NOP,-1.5
Home,GSW,1.5
,,
12/21/2019,,
11,,
Away,UTA,-7
Home,CHA,7
,,
Away,ATL,7.5
Home,BKN,-7.5
,,
Away,CHI,2
Home,DET,-2
,,
Away,WAS,12.5
Home,PHI,-12.5
,,
Away,MIL,-13.5
Home,NYK,13.5
,,
Away,SAC,-1.5
Home,MEM,1.5
,,
Away,LAC,-6.5
Home,SAS,6.5
,,
Away,HOU,-8.5
Home,PHX,8.5
,,
Away,MIN,6
Home,POR,-6
,,
12/22/2019,,
5,,
Away,DAL,1.5
Home,TOR,-1.5
,,
Away,CHA,13
Home,BOS,-13
,,
Away,IND,7.5
Home,MIL,-7.5
,,
Away,LAC,-2
Home,OKC,2
,,
Away,DEN,3.5
Home,LAL,-3.5
,,
12/23/2019,,
11,,
Away,ATL,1
Home,CLE,-1
,,
Away,CHI,5
Home,ORL,-5
,,
Away,PHI,-6.5
Home,DET,6.5
,,
Away,TOR,7
Home,IND,-7
,,
Away,WAS,3.5
Home,NYK,-3.5
,,
Away,UTA,5
Home,MIA,-5
,,
Away,SAS,-1.5
Home,MEM,1.5
,,
Away,DEN,-3.5
Home,PHX,3.5
,,
Away,HOU,-6.5
Home,SAC,6.5
,,
Away,NOP,6
Home,POR,-6
,,
Away,MIN,-1.5
Home,GSW,1.5
,,
12/25/2019,,
5,,
Away,BOS,-4.5
Home,TOR,4.5
,,
Away,MIL,-4
Home,PHI,4
,,
Away,HOU,-11
Home,GSW,11
,,
Away,LAC,2
Home,LAL,-2
,,
Away,NOP,9.5
Home,DEN,-9.5
,,
12/26/2019,,
6,,
Away,WAS,7
Home,DET,-7
,,
Away,NYK,8
Home,BKN,-8
,,
Away,MEM,6
Home,OKC,-6
,,
Away,SAS,7
Home,DAL,-7
,,
Away,MIN,4.5
Home,SAC,-4.5
,,
Away,POR,5.5
Home,UTA,-5.5
,,
12/27/2019,,
6,,
Away,CLE,14.5
Home,BOS,-14.5
,,
Away,OKC,0
Home,CHA,0
,,
Away,PHI,-4
Home,ORL,4
,,
Away,MIL,-8
Home,ATL,8
,,
Away,IND,4
Home,MIA,-4
,,
Away,PHX,-3.5
Home,GSW,3.5
,,
12/28/2019,,
14,,
Away,MEM,9
Home,DEN,-9
,,
Away,IND,-1.5
Home,NOP,1.5
,,
Away,TOR,7.5
Home,BOS,-7.5
,,
Away,ATL,9
Home,CHI,-9
,,
Away,BKN,9.5
Home,HOU,-9.5
,,
Away,CLE,7.5
Home,MIN,-7.5
,,
Away,NYK,-3
Home,WAS,3
,,
Away,PHI,2
Home,MIA,-2
,,
Away,DAL,-11
Home,GSW,11
,,
Away,DET,5
Home,SAS,-5
,,
Away,ORL,6
Home,MIL,-6
,,
Away,PHX,2.5
Home,SAC,-2.5
,,
Away,LAL,-5
Home,POR,5
,,
Away,UTA,9
Home,LAC,-9
,,
12/29/2019,,
5,,
Away,OKC,5.5
Home,TOR,-5.5
,,
Away,CHA,3
Home,MEM,-3
,,
Away,HOU,-2
Home,NOP,2
,,
Away,SAC,10
Home,DEN,-10
,,
Away,DAL,3
Home,LAL,-3
,,
12/30/2019,,
9,,
Away,ATL,11
Home,ORL,-11
,,
Away,MIA,-11
Home,WAS,11
,,
Away,BKN,-4.5
Home,MIN,4.5
,,
Away,MIL,-9.5
Home,CHI,9.5
,,
Away,DET,9
Home,UTA,-9
,,
Away,PHX,5
Home,POR,-5
,,
12/31/2019,,
7,,
Away,BOS,-8
Home,CHA,8
,,
Away,PHI,3
Home,IND,-3
,,
Away,LAC,-7.5
Home,SAC,7.5
,,
Away,CLE,9
Home,TOR,-9
,,
Away,DEN,4.5
Home,HOU,-4.5
,,
Away,GSW,11
Home,SAS,-11
,,
Away,DAL,-3.5
Home,OKC,3.5
 ,,
1/1/2020,,
4,,
Away,ORL,-3
Home,WAS,3
,,
Away,POR,-5
Home,NYK,5
,,
Away,MIN,18
Home,MIL,-18
,,
Away,PHX,12
Home,LAL,-12
1-2-2020
11
Away,CHA,2.0
Home,CLE,-2.0

Away,DEN,-1.5
Home,IND,1.5

Away,TOR,5.5
Home,MIA,-5.5

Away,GSW,2.5
Home,MIN,-2.5

Away,UTA,-4.0
Home,CHI,4.0

Away,BKN,7.5
Home,DAL,-7.5

Away,OKC,2.5
Home,SAS,-2.5

Away,MEM,4.5
Home,SAC,-4.5

Away,DET,13.0
Home,LAC,-13.0

Away,MIA,-1.5
Home,ORL,1.5

Away,POR,-5.5
Home,WAS,5.5

1-3-2020
6
Away,ATL,10.5
Home,BOS,-10.5

Away,MIA,-2.0
Home,ORL,2.0

Away,POR,-6.5
Home,WAS,6.5

Away,PHI,4.5
Home,HOU,-4.5

Away,NYK,7.0
Home,PHX,-7.0

Away,NOP,10.5
Home,LAL,-10.5

1-4-2020
11
Away,MEM,10.5
Home,LAC,-10.5

Away,TOR,1.5
Home,BKN,-1.5

Away,UTA,-4.5
Home,ORL,4.5

Away,IND,-7.5
Home,ATL,7.5

Away,OKC,-6.5
Home,CLE,6.5

Away,BOS,1.0
Home,CHI,-1.0

Away,DEN,-12.0
Home,WAS,12.0

Away,CHA,12.0
Home,DAL,-12.0

Away,DET,-3.0
Home,GSW,3.0

Away,SAS,12.0
Home,MIL,-12.0

Away,NOP,3.5
Home,SAC,-3.5

1-5-2020
5
Away,NYK,10.0
Home,LAC,-10.0

Away,POR,6.0
Home,MIA,-6.0

Away,MIN,-4.0
Home,CLE,4.0

Away,MEM,6.0
Home,PHX,-6.0

Away,DET,14.5
Home,LAL,-14.5

1-6-2020
9
Away,BOS,-8.0
Home,WAS,8.0

Away,BKN,5.0
Home,ORL,-5.0

Away,IND,-6.0
Home,CHA,6.0

Away,OKC,7.5
Home,PHI,-7.5

Away,DEN,-7.5
Home,ATL,7.5

Away,UTA,-4.5
Home,NOP,4.5

Away,CHI,9.5
Home,DAL,-9.5

Away,MIL,-8.0
Home,SAS,8.0

Away,GSW,10.0
Home,SAC,-10.0

1-7-2020
6
Away,DET,-3.5
Home,CLE,3.5

Away,POR,2.5
Home,TOR,-2.5

Away,OKC,1.0
Home,BKN,-1.0

Away,MIN,4.0
Home,MEM,-4.0

Away,SAC,7.0
Home,PHX,-7.0

Away,NYK,12.5
Home,LAL,-12.5

1-8-2020
9
Away,MIA,-1.0
Home,IND,1.0

Away,SAS,7.0
Home,BOS,-7.0

Away,TOR,-3.0
Home,CHA,3.0

Away,WAS,9.5
Home,ORL,-9.5

Away,DEN,3.0
Home,DAL,-3.0

Away,HOU,-8.0
Home,ATL,8.0

Away,CHI,3.5
Home,NOP,-3.5

Away,NYK,14.5
Home,UTA,-14.5

Away,MIL,-14.0
Home,GSW,14.0

1-9-2020
3
Away,BOS,1.0
Home,PHI,-1.0

Away,CLE,7.5
Home,DET,-7.5

Away,HOU,-4.5
Home,OKC,4.5

